SubjectArea,Subject,Band,Term,Definition
Mathematics,Mathematics,Foundation to Year 10,fraction,"A number of the form a/b where a is an integer and b is a non-zero integer, e.g. 4/6,11/5,-3/7. A fraction is said to be in simplest form when a and b have no common divisor greater than 1."
Mathematics,Mathematics,Foundation to Year 10,frequency,"The number of times that a particular value occurs in a data set. For grouped data, it is the number of observations that lie in that group or class interval."
Mathematics,Mathematics,Foundation to Year 10,frequency table,"A table listing the frequency (number of occurrences) of observations, measurements or outcomes in different ranges, called class intervals."
Mathematics,Mathematics,Foundation to Year 10,function,"A correspondence (map or relation) between the elements of 2 sets where each element in the first set is mapped to exactly one corresponding element in the second set, either one-to-one or many-to-one."
Mathematics,Mathematics,Foundation to Year 10,function machine,"An algorithmic process which takes an input, applies an operation (or operations) and results in an output."
Mathematics,Mathematics,Foundation to Year 10,geometric patterns,Patterns formed by a series of shapes. They may be repeating or growing patterns which change in predicted ways that can be generalised. Tessellations are geometric patterns formed by transforming shapes.
Mathematics,Mathematics,Foundation to Year 10,gradient,"The slope of a line. It is calculated as the gradient of a line segment it contains. The gradient (m) of the line containing A(x₁,y₁) and B(x₂,y₂)is calculated as m=(y2-y1)/(x2- x1)."
Mathematics,Mathematics,Foundation to Year 10,grid coordinate system,A system for referencing location within a space using labelled horizontal and vertical grid lines. Locations are defined using a set of coordinates which indicate points in the plane where 2 grid lines meet.
Mathematics,Mathematics,Foundation to Year 10,grid reference,"A way of identifying a region on a map. Coordinates and grid lines are used to refer to specific features or locations, e.g. in the map shown, the school is located at the grid reference C4."
Mathematics,Mathematics,Foundation to Year 10,grouping,"A process of partitioning a set into subsets according to a given criterion, e.g. a class of students according to eye colour. Equal grouping means each subset has the same number of elements."
Mathematics,Mathematics,Foundation to Year 10,growing pattern,"A pattern where each term is either an increase or a decrease on the previous term. Change from term to term is predictable if the pattern is growing additively, multiplicatively or exponentially."
Mathematics,Mathematics,Foundation to Year 10,growth,"A measure of the increase in value of the dependent variable of a function as the value of the independent variable increases, e.g. the length of a spring when weights are added."
Mathematics,Mathematics,Foundation to Year 10,guided statistical investigation,"A teacher-led, scaffolded approach to the statistical investigation process including collecting, representing and analysing data, interpreting and communicating results."
Mathematics,Mathematics,Foundation to Year 10,histogram,A statistical graph for displaying the frequency distribution of continuous data. It is also a graphical representation of the information contained in a frequency table.
Mathematics,Mathematics,Foundation to Year 10,improper fraction,"A fraction where the numerator is greater than or equal to the denominator, e.g. 7/5 is an improper fraction, where as 5/7 is a proper fraction."
Mathematics,Mathematics,Foundation to Year 10,inequality,"A mathematical expression containing the terms ‘less than’, ‘less than or equal to’, ‘greater than’, or ‘greater than or equal to’ and their respective symbolic representations <, ≤, > and ≥."
Mathematics,Mathematics,Foundation to Year 10,inference (statistics),"The process for determining consequences or conclusions based on assumptions, evidence and reasoning."
Mathematics,Mathematics,Foundation to Year 10,informal units,"Units whose values are decided on in a given context, e.g. the use of a pace to measure distance (non-uniform unit); the use of paperclips to measure length (uniform unit)."
Mathematics,Mathematics,Foundation to Year 10,integer,"An element of the infinite set of numbers Z = {... -3, -2, -1, 0, 1, 2, 3 ...}."
Mathematics,Mathematics,Foundation to Year 10,interval(s),"A continuous subset of the real number line, e.g. ‘the set of all real numbers greater than or equal to 10’."
Mathematics,Mathematics,Foundation to Year 10,inverse operation,"An operation in arithmetic which undoes the effect of another operation. Multiplication and division are inverse operations, as are addition and subtraction."
Mathematics,Mathematics,Foundation to Year 10,irrational number,"A number that cannot be expressed as a fraction in the form m/n, where m and n are integers and n is non-zero. The decimal expansions of such numbers are infinite and non-recurring."
Mathematics,Mathematics,Foundation to Year 10,irregular object,An object that has faces of varying shapes. Contrast with a regular object such as a cube.
Mathematics,Mathematics,Foundation to Year 10,irregular shape,A shape with sides of varying lengths. Contrast with a regular shape such as a rhombus or equilateral triangle.
Mathematics,Mathematics,Foundation to Year 10,kinship,"A system used to decide how people relate to each other and their roles, responsibilities and duties. A feature of First Nations Australians' social organisation and family relationships."
Mathematics,Mathematics,Foundation to Year 10,line,A model of what is perceived visually as straight. It has one dimension and extends indefinitely in the plane.
Mathematics,Mathematics,Foundation to Year 10,line graphs,"Graphs that represent the changing relationship between 2 variables. They use lines to connect individual data points, and are generally used to show how something changes over time."
Mathematics,Mathematics,Foundation to Year 10,line segment (interval),"Let Aand B be 2 distinct points on a line, then the part of the line between and including A and B is a line segment."
Mathematics,Mathematics,Foundation to Year 10,line symmetry,A line in which a shape is symmetrical such that if you were to fold the shape about this line it would map onto itself exactly.
Mathematics,Mathematics,Foundation to Year 10,linear equations,"Equations involving linear expressions. The general form of a linear equation in one variable is ax+b=c where a, b and c are constants."
Mathematics,Mathematics,Foundation to Year 10,linear expression,"An expression involving only variables to the power 1, and constants, e.g.
2x+3, 180(n-2), 4x-5y."
Mathematics,Mathematics,Foundation to Year 10,linear functions,A function which when graphed on a Cartesian plane produces a straight line. It can be reduced to the general form y=mx+b.
Mathematics,Mathematics,Foundation to Year 10,linear inequalities,"Inequalities that involve linear expressions and contain one of the inequality signs: either < , > , ≤ or ≥."
